,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_categorization,dog_classification,conf,jpg_url,img_num,tweet_length,hashtags,favorite_count,retweet_count
0,892420643555336193,2017-08-01 16:23:56 +0000,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,85,[],39467,8853
1,892177421306343426,2017-08-01 00:17:27 +0000,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,Chihuahua,0.323581,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,138,[],33819,6514
2,891815181378084864,2017-07-31 00:18:03 +0000,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,Chihuahua,0.716012,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,121,[],25461,4328
3,891689557279858688,2017-07-30 15:58:51 +0000,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,,Labrador_retriever,0.168086,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,79,[],42908,8964
4,891327558926688256,2017-07-29 16:00:24 +0000,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,,basset,0.555712,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,138,['BarkWeek'],41048,9774
5,891087950875897856,2017-07-29 00:08:17 +0000,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,,,Chesapeake_Bay_retriever,0.425595,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,138,['BarkWeek'],20562,3261
6,890971913173991426,2017-07-28 16:27:12 +0000,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,,Appenzeller,0.34170300000000003,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,140,[],12041,2158
7,890729181411237888,2017-07-28 00:22:40 +0000,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,,,Pomeranian,0.566142,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,118,[],56848,16716
8,890609185150312448,2017-07-27 16:25:51 +0000,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,,Irish_terrier,0.487574,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,122,['BarkWeek'],28226,4429
9,890240255349198849,2017-07-26 15:59:51 +0000,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,Pembroke,0.511319,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,133,[],32467,7711
